iter	Passed	Remaining
1431	115194	30085
1432	115271	30004
1433	115350	29923
1434	115429	29842
1435	115510	29762
1436	115587	29681
1437	115668	29600
1438	115745	29519
1439	115828	29439
1440	115907	29358
1441	115986	29278
1442	116063	29196
1443	116143	29116
1444	116225	29036
1445	116305	28955
1446	116387	28875
1447	116462	28793
1448	116543	28713
1449	116623	28633
1450	116705	28552
1451	116783	28472
1452	116864	28391
1453	116943	28311
1454	117023	28230
1455	117103	28149
1456	117183	28069
1457	117264	27989
1458	117343	27908
1459	117420	27827
1460	117497	27745
1461	117581	27666
1462	117659	27585
1463	117740	27504
1464	117819	27424
1465	117895	27342
1466	117979	27263
1467	118066	27184
1468	118145	27103
1469	118223	27022
1470	118299	26941
1471	118378	26860
1472	118463	26780
1473	118540	26699
1474	118620	26619
1475	118699	26538
1476	118778	26457
1477	118863	26378
1478	118939	26296
1479	119019	26216
1480	119095	26135
1481	119171	26053
1482	119257	25974
1483	119338	25894
1484	119416	25813
1485	119494	25732
1486	119571	25651
1487	119650	25570
1488	119734	25490
1489	119811	25409
1490	119889	25328
1491	119970	25248
1492	120053	25168
1493	120144	25090
1494	120233	25011
1495	120314	24931
1496	120394	24851
1497	120473	24770
1498	120555	24690
1499	120644	24611
1500	120727	24531
1501	120807	24451
1502	120884	24369
1503	120961	24288
1504	121041	24208
1505	121125	24128
1506	121204	24047
1507	121285	23967
1508	121364	23886
1509	121443	23806
1510	121523	23725
1511	121603	23645
1512	121681	23564
1513	121757	23483
1514	121837	23402
1515	121920	23322
1516	122003	23242
1517	122081	23161
1518	122163	23081
1519	122249	23002
1520	122326	22921
1521	122411	22841
1522	122489	22760
1523	122566	22679
1524	122643	22598
1525	122721	22517
1526	122803	22437
1527	122886	22357
1528	122966	22277
1529	123041	22195
1530	123121	22115
1531	123197	22033
1532	123280	21954
1533	123360	21873
1534	123442	21793
1535	123519	21712
1536	123600	21632
1537	123681	21551
1538	123760	21471
1539	123840	21390
1540	123920	21310
1541	124000	21229
1542	124077	21148
1543	124162	21069
1544	124238	20987
1545	124318	20907
1546	124398	20826
1547	124481	20746
1548	124563	20666
1549	124647	20586
1550	124726	20506
1551	124803	20425
1552	124880	20344
1553	124999	20270
1554	125096	20192
1555	125175	20111
1556	125258	20031
1557	125338	19951
1558	125416	19870
1559	125500	19790
1560	125578	19709
1561	125654	19628
1562	125734	19548
1563	125813	19467
1564	125895	19387
1565	125972	19306
1566	126049	19225
1567	126126	19144
1568	126206	19063
1569	126282	18982
1570	126372	18903
1571	126453	18823
1572	126531	18742
1573	126608	18661
1574	126684	18580
1575	126768	18500
1576	126849	18420
1577	126928	18339
1578	127006	18258
1579	127086	18178
1580	127165	18097
1581	127247	18017
1582	127327	17936
1583	127407	17856
1584	127487	17775
1585	127566	17695
1586	127645	17614
1587	127725	17534
1588	127803	17453
1589	127884	17373
1590	127961	17292
1591	128046	17212
1592	128129	17132
1593	128207	17051
1594	128287	16970
1595	128370	16890
1596	128458	16811
1597	128546	16731
1598	128627	16651
1599	128710	16571
1600	128790	16491
1601	128873	16410
1602	128956	16330
1603	129041	16250
1604	129129	16171
1605	129216	16091
1606	129297	16011
1607	129377	15930
1608	129458	15850
1609	129537	15769
1610	129614	15688
1611	129693	15608
1612	129773	15527
1613	129857	15447
1614	129934	15366
1615	130013	15286
1616	130091	15205
1617	130171	15124
1618	130249	15044
1619	130330	14963
1620	130408	14883
1621	130493	14803
1622	130578	14723
1623	130660	14642
1624	130745	14563
1625	130824	14482
1626	130904	14401
1627	130980	14320
1628	131057	14240
1629	131144	14160
1630	131224	14079
1631	131299	13998
1632	131377	13918
1633	131457	13837
1634	131534	13756
1635	131618	13676
1636	131698	13596
1637	131777	13515
1638	131851	13434
1639	131932	13354
1640	132016	13274
1641	132103	13194
1642	132181	13113
1643	132267	13033
1644	132352	12953
1645	132431	12873
1646	132517	12793
1647	132605	12713
1648	132685	12632
1649	132765	12552
1650	132845	12471
1651	132925	12391
1652	133009	12311
1653	133094	12231
1654	133173	12150
1655	133259	12070
1656	133339	11990
1657	133425	11910
1658	133504	11829
1659	133589	11749
1660	133676	11669
